1	NZAA05R23L	NZAA	05R	23L	51	231	71	251	15	15	1	1	NZZC	NZAA Auckland Intl	-37.016317	174.770783	-37.006656	174.805742
2	NZAP1735	NZAP	17	35	174	354	195.3	15.3	3	3	1	1	NZZC	NZAP Taupo	-38.734717	176.08695	-38.746789	176.082844
3	NZAR0321	NZAR	03	21	25	205	45.1	225.1	3	3	1	1	NZZC	NZAR Ardmore	-37.034575	174.969758	-37.027044	174.979333
4	NZAR0725	NZAR	07	25	70	250	90.1	270.1	0	0	0	0	NZZC	NZAR Ardmore	-37.028981	174.969131	-37.028958	174.974044
5	NZAS0220	NZAS	02	20	23	203	47.4	227.4	0	0	0	0	NZZC	NZAS Ashburton	-43.90535	171.800383	-43.9019	171.804536
6	NZAS0624	NZAS	06	24	64	244	88.4	268.4	0	0	0	0	NZZC	NZAS Ashburton	-43.903042	171.795106	-43.902439	171.807678
7	NZAS1129	NZAS	11	29	108	288	132.4	312.4	0	0	0	0	NZZC	NZAS Ashburton	-43.903333	171.796667	-43.903333	171.796667
8	NZAS1634	NZAS	16	34	157	337	181.4	1.4	0	0	0	0	NZZC	NZAS Ashburton	-43.903333	171.796667	-43.903333	171.796667
9	NZCH0220	NZCH	02	20	16	196	41	221	15	15	1	1	NZZC	NZCH Christchurch Intl	-43.497631	172.522114	-43.474989	172.548286
10	NZCH1129	NZCH	11	29	106	286	131	311	10	10	5	5	NZZC	NZCH Christchurch Intl	-43.484278	172.524414	-43.494381	172.540883
11	NZCX1230	NZCX	12	30	126	306	146	326	0	0	0	0	NZZC	NZCX Coromandel	-36.787147	175.505083	-36.790711	175.508072
12	NZDA0422	NZDA	04	22	40	220	59.3	239.3	0	0	0	0	NZZC	NZDA Dargaville	-35.941344	173.888	-35.937225	173.897644
13	NZDN0321	NZDN	03	21	30	210	55.8	235.8	10	10	1	1	NZZC	NZDN Dunedin	-45.933925	170.187472	-45.924378	170.207786
14	NZDV0220	NZDV	02	20	18	198	40.2	220.2	0	0	0	0	NZZC	NZDV Dannevirke	-40.235806	176.074858	-40.227511	176.084014
15	NZDV0826	NZDV	08	26	80	260	102.2	282.2	0	0	0	0	NZZC	NZDV Dannevirke	-40.227792	176.077056	-40.228967	176.083039
16	NZFE0624	NZFE	06	24	65	245	89	269	0	0	0	0	NZZC	NZFE Fernside Fields	-43.317603	172.508486	-43.317458	172.513967
17	NZFI1028	NZFI	10	28	98	278	120.2	300.2	0	0	0	0	NZZC	NZFI Feilding	-40.253847	175.601128	-40.257994	175.610708
18	NZGB0624	NZGB	06	24	60	240	79.7	259.7	0	0	0	0	NZZC	NZGB Great Barrier	-36.241733	175.4664	-36.241131	175.472136
19	NZGB1028	NZGB	10	28	100	280	119.7	299.7	3	3	1	1	NZZC	NZGB Great Barrier	-36.238797	175.464031	-36.243103	175.472969
20	NZGC0119	NZGC	01	19	10	190	35.8	215.8	0	0	0	0	NZZC	NZGC Gore	-46.1621	168.889622	-46.152758	168.899356
21	NZGC0624	NZGC	06	24	60	240	85.8	265.8	0	0	0	0	NZZC	NZGC Gore	-46.156244	168.897594	-46.156139	168.902592
22	NZGC1230	NZGC	12	30	120	300	145.8	325.8	0	0	0	0	NZZC	NZGC Gore	-46.153811	168.897689	-46.157189	168.900714
23	NZGM0119	NZGM	01	19	8	188	31.1	211.1	0	0	0	0	NZZC	NZGM Greymouth	-42.466061	171.187208	-42.458636	171.193269
24	NZGS0321	NZGS	03	21	30	210	51.4	231.4	0	0	0	0	NZZC	NZGS Gisborne	-38.666008	177.971969	-38.658975	177.982011
25	NZGS0927	NZGS	09	27	90	270	111.4	291.4	0	0	0	0	NZZC	NZGS Gisborne	-38.659611	177.970139	-38.663997	177.982436
26	NZGS1432	NZGS	14	32	144	324	165.4	345.4	10	10	1	1	NZZC	NZGS Gisborne	-38.6583	177.974975	-38.669686	177.979039
27	NZGT1533	NZGT	15	33	146	326	170.1	350.1	0	0	0	0	NZZC	NZGT Glentanner	-43.906092	170.12775	-43.915428	170.129942
28	NZGY1432	NZGY	14	32	140	320	164.5	344.5	0	0	0	0	NZZC	NZGY Glenorchy	-44.868572	168.396758	-44.874439	168.399017
29	NZHA1432	NZHA	14	32	140	320	161.6	341.6	0	0	0	0	NZZC	NZHA Hawera	-39.550078	174.266169	-39.557953	174.269817
30	NZHK0321	NZHK	03	21	33	213	56.3	236.3	0	0	0	0	NZZC	NZHK Hokitika	-42.713394	170.980258	-42.707764	170.992069
31	NZHK1230	NZHK	12	30	123	303	146.3	326.3	0	0	0	0	NZZC	NZHK Hokitika	-42.710958	170.984431	-42.719842	170.992242
32	NZHN18L36R	NZHN	18L	36R	175	355	195.6	15.6	10	10	1	1	NZZC	NZHN Hamilton	-37.855806	175.336175	-37.87365	175.329706
33	NZHS0119	NZHS	01	19	7	187	28.9	208.9	0	0	0	0	NZZC	NZHS Hastings	-39.648272	176.764161	-39.64065	176.769653
34	NZHS1129	NZHS	11	29	108	288	129.9	309.9	0	0	0	0	NZZC	NZHS Hastings	-39.644028	176.762117	-39.648056	176.768158
35	NZKF0725	NZKF	07	25	70	250	89.7	269.7	0	0	0	0	NZZC	NZKF Kaipara Flats	-36.406167	174.583481	-36.405936	174.591142
36	NZKI0523	NZKI	05	23	50	230	73.5	253.5	0	0	0	0	NZZC	NZKI Kaikoura	-42.426317	173.600297	-42.423875	173.608017
37	NZKK0220	NZKK	02	20	20	200	38.9	218.9	0	0	0	0	NZZC	NZKK Kerikeri	-35.263675	173.914089	-35.260261	173.917519
38	NZKK1533	NZKK	15	33	146	326	164.9	344.9	3	3	1	1	NZZC	NZKK Kerikeri	-35.252417	173.910506	-35.262803	173.91375
39	NZKM0119	NZKM	01	19	10	190	32.4	212.4	0	0	0	0	NZZC	NZKM Karamea	-41.240836	172.103242	-41.233475	172.108553
40	NZKM1735	NZKM	17	35	162	342	184.4	4.4	0	0	0	0	NZZC	NZKM Karamea	-41.236219	172.104517	-41.240886	172.103944
41	NZKO1331	NZKO	13	31	130	310	149	329	0	0	0	0	NZZC	NZKO Kaikohe	-35.451111	173.817222	-35.451111	173.817222
42	NZKO1735	NZKO	17	35	170	350	189	9	0	0	0	0	NZZC	NZKO Kaikohe	-35.451111	173.817222	-35.451111	173.817222
43	NZKP1028	NZKP	10	28	99	279	121.4	301.4	0	0	0	0	NZZC	NZKP Koputaroa	-40.559342	175.332681	-40.561633	175.337756
44	NZKT1230	NZKT	12	30	123	303	141.8	321.8	3	3	1	1	NZZC	NZKT Kaitaia	-35.064536	173.281014	-35.074508	173.290461
45	NZKT1836	NZKT	18	36	181	1	199.8	19.8	0	0	0	0	NZZC	NZKT Kaitaia	-35.068853	173.288228	-35.076614	173.284742
