57	8	2	TW	KETUS	KETUS	H	IFR_FIX	-12.4869444444444	-174.281111111111	8200	8200	7
58	9	3	TW	FU	FU NDB	H	NDB	-8.524722	179.197778	0	0	7
59	0	2	TW	TBU	TBU VOR	H	VOR	-21.2441666666667	-175.148588888889	0	0	8
60	1	2	TW	GOBIL	GOBIL	H	IFR_FIX	-20.0808277777778	-174.636025	0	0	8
61	2	2	TW	ISDOT	ISDOT	H	IFR_FIX	-15.8119611111111	-172.809505555556	0	0	8
62	3	2	TW	AROXA	AROXA	H	IFR_FIX	-14.2957305555556	-172.183513888889	0	0	8
63	4	2	TW	FA	FA VOR	H	VOR	-13.82875	-171.992941666667	3300	3300	8
64	5	2	TW	SAMVU	SAMVU	H	IFR_FIX	-13.3402722222222	-171.876216666667	3400	3400	8
65	6	2	TW	UGABO	UGABO	H	IFR_FIX	-12.1792	-171.601266666667	0	0	8
66	7	2	TW	PUPIS	PUPIS	H	IFR_FIX	-10	-171.091666666667	0	0	8
67	0	2	TW	AA	AA VOR	H	VOR	-37.0046333333333	174.813630555556	3500	3500	9
68	1	2	TW	DUGAN	DUGAN	H	IFR_FIX	-33.8794777777778	173.390172222222	3500	3500	9
69	2	2	TW	MINET	MINET	H	IFR_FIX	-29.9453861111111	170.799797222222	0	0	9
70	3	2	TW	LEKAX	LEKAX	H	IFR_FIX	-27.0906194444444	169.064891666667	0	0	9
71	4	3	TW	VIRAR	VIRAR	H	IFR_FIX	-24.793333	167.741667	0	0	9
72	0	2	TW	AKLOM	AKLOM	H	IFR_FIX	-35.3578555555556	178.394161111111	0	0	10
73	1	2	TW	TATAS	TATAS	H	IFR_FIX	-30	-175.295	0	0	10
74	2	2	TW	SAMAD	SAMAD	H	IFR_FIX	-25	-170.02	0	0	10
75	3	2	TW	OSUGA	OSUGA	H	IFR_FIX	-20	-165.318333333333	0	0	10
76	4	2	TW	ASORO	ASORO	H	IFR_FIX	-15	-161.006666666667	0	0	10
77	5	2	TW	MEGOG	MEGOG	H	IFR_FIX	-10.0566666666667	-157	0	0	10
78	6	3	TW	PUMIS	PUMIS	H	IFR_FIX	-5	-153.061667	0	0	10
79	0	2	TW	SALAG	SALAG	H	IFR_FIX	-34.84505	171.683363888889	0	0	11
80	1	2	TW	LEBOL	LEBOL	H	IFR_FIX	-29.1463027777778	165.215552777778	0	0	11
81	2	3	TW	RUMIX	RUMIX	H	IFR_FIX	-27.126944	163	0	0	11
82	0	3	TW	LHI	LHI NDB	H	NDB	-31.528917	159.072944	0	0	12
83	1	2	TW	TEKEP	TEKEP	H	IFR_FIX	-30.49	163	0	0	12
84	2	2	TW	NF	NF VOR	H	VOR	-29.0473333333333	167.932166666667	2100	2100	12
85	3	2	TW	DOLSI	DOLSI	H	IFR_FIX	-25	174.685019444444	2100	2100	12
86	4	2	TW	DUNAK	DUNAK	H	IFR_FIX	-21.427569	180	0	0	12
87	5	2	TW	SOVRA	SOVRA	H	IFR_FIX	-19.5233333333333	-177.401666666667	0	0	12
88	6	2	TW	KILAN	KILAN	H	IFR_FIX	-17.7377777777778	-175	0	0	12
89	7	2	TW	DODUX	DODUX	H	IFR_FIX	-15.9115305555556	-172.676188888889	0	0	12
90	8	2	TW	TUT	TUT NDB	H	NDB	-14.3321388888889	-170.719511111111	4000	4000	12
91	0	3	TW	DOLSI	DOLSI	H	IFR_FIX	-25	174.685019444444	0	0	13
92	1	3	TW	GURDI	GURDI	H	IFR_FIX	-21.8009388888889	-178.469444444444	0	0	13
93	0	2	TW	TUT	TUT NDB	H	NDB	-14.3321388888889	-170.719511111111	4000	4000	14
94	1	2	TW	GUMRA	GUMRA	H	IFR_FIX	-15.290975	-169.292116666667	4000	4000	14
95	2	2	TW	INVAS	INVAS	H	IFR_FIX	-18.0731	-165	0	0	14
96	3	2	TW	GOPSA	GOPSA	H	IFR_FIX	-20.6020972222222	-160.869858333333	0	0	14
97	4	2	TW	RG	RG VOR	H	VOR	-21.2016666666667	-159.814444444444	0	0	14
98	5	2	TW	LOTRA	LOTRA	H	IFR_FIX	-20.2329861111111	-159.098355555556	0	0	14
99	6	2	TW	BIBUP	BIBUP	H	IFR_FIX	-17.4733333333333	-157	0	0	14
100	7	3	TW	MEVEP	MEVEP	H	IFR_FIX	-15	-155.21	0	0	14
101	0	3	TW	TV	TV NDB	H	NDB	-18.5855	-173.969666666667	0	0	15
102	1	2	TW	OGELA	OGELA	H	IFR_FIX	-16.4082916666667	-172.007369444444	0	0	15
103	0	2	TW	AA	AA VOR	H	VOR	-37.0046333333333	174.813630555556	5000	5000	16
104	1	2	TW	OKTUB	OKTUB	H	IFR_FIX	-35.2139694444444	176.160044444444	5000	5000	16
105	2	2	TW	SELKA	SELKA	H	IFR_FIX	-34.1493361111111	176.927555555556	5000	5000	16
106	3	2	TW	MOMTA	MOMTA	H	IFR_FIX	-30	179.724747222222	0	0	16
107	4	2	TW	REPOL	REPOL	H	IFR_FIX	-25	-177.242122222222	0	0	16
108	5	2	TW	KETUP	KETUP	H	IFR_FIX	-22.3570277777778	-175.755808333333	0	0	16
109	6	2	TW	TBU	TBU VOR	H	VOR	-21.2441666666667	-175.148588888889	0	0	16
110	7	2	TW	EKEDI	EKEDI	H	IFR_FIX	-20.1758111111111	-174.438075	0	0	16
111	8	2	TW	OGELA	OGELA	H	IFR_FIX	-16.4082916666667	-172.007369444444	0	0	16
112	9	2	TW	DRAWN	DRAWN	H	IFR_FIX	-14.6306	-170.899580555556	4000	4000	16
113	10	2	TW	TUT	TUT NDB	H	NDB	-14.3321388888889	-170.719511111111	4000	4000	16
114	0	3	TW	HOI	HOI VOR	H	VOR	-13.239583	-176.201833	0	0	17
115	1	3	TW	OVLAD	OVLAD	H	IFR_FIX	-13.4556305555556	-174.718177777778	0	0	17
116	2	2	TW	ALAPI	ALAPI	H	IFR_FIX	-13.7618805555556	-172.502008333333	8200	8200	17
117	3	2	TW	FA	FA VOR	H	VOR	-13.82875	-171.992941666667	8200	8200	17
118	4	2	TW	PONAT	PONAT	H	IFR_FIX	-14.0857583333333	-171.346275	5900	5900	17
119	5	3	TW	ALOHI	ALOHI	H	IFR_FIX	-14.2271666666667	-170.979297222222	3300	3300	17
120	6	2	TW	TUT	TUT NDB	H	NDB	-14.3321388888889	-170.719511111111	3300	3300	17
121	7	2	TW	DARMA	DARMA	H	IFR_FIX	-13.1533888888889	-169.495555555556	4000	4000	17
122	8	2	TW	SAPIX	SAPIX	H	IFR_FIX	-8.62067777777778	-165	0	0	17
123	9	2	TW	PASSA	PASSA	H	IFR_FIX	-5	-161.525	0	0	17
124	10	3	TW	QUIGG	QUIGG	H	IFR_FIX	1.075	204.231944444444	0	0	17
125	0	3	TW	NILAX	NILAX	H	IFR_FIX	-22.08	174.071667	0	0	18
126	1	2	TW	GURDI	GURDI	H	IFR_FIX	-21.8009388888889	-178.469444444444	0	0	18
127	2	2	TW	IBAKA	IBAKA	H	IFR_FIX	-21.6612111111111	-176.40365	0	0	18
128	3	2	TW	BUSTA	BUSTA	H	IFR_FIX	-21.5514361111111	-175	0	0	18
129	4	2	TW	DADOK	DADOK	H	IFR_FIX	-21.0638416666667	-170	0	0	18
130	5	2	TW	DOGSA	DOGSA	H	IFR_FIX	-20.4256805555556	-165	0	0	18
131	6	2	TW	DOTIK	DOTIK	H	IFR_FIX	-19.6015861111111	-159.789111111111	0	0	18
132	7	2	TW	DUMUM	DUMUM	H	IFR_FIX	-19.0949583333333	-157	0	0	18
133	8	3	TW	TAPAP	TAPAP	H	IFR_FIX	-18.006667	-151.648333	0	0	18
134	0	3	TW	BAXIL	BAXIL	H	IFR_FIX	-13.021036	-176.998014	0	0	19
135	1	2	TW	GOMIK	GOMIK	H	IFR_FIX	-9.46436111111111	187.061555555556	0	0	19
136	2	2	TW	WOOBY	WOOBY	H	IFR_FIX	-5	-168.02	0	0	19
137	3	3	TW	WACOS	WACOS	H	IFR_FIX	-1.270556	-164	0	0	19
138	0	2	TW	RG	RG VOR	H	VOR	-21.2016666666667	-159.814444444444	0	0	20
139	1	2	TW	BIGAN	BIGAN	H	IFR_FIX	-20.6994944444444	-159.814852777778	0	0	20
