20066	ESNAX	4	triangle	1628
20067	PEPPE	0		1629
20068	ANSER	1		1629
20069	ELBOP	2		1629
20070	ESNAX	3	triangle	1629
20071	DAVEE	0		1630
20072	AA507	1		1630
20073	STEAL	2		1630
20074	ATAMA	3	triangle	1630
20075	PEPPE	0		1631
20076	IGABI	1		1631
20077	WI_NDB	2	circle	1631
20078	STEAL	3		1631
20079	ATAMA	4	triangle	1631
20080	SCARY	0		1632
20081	IGABI	1		1632
20082	WI_NDB	2	circle	1632
20083	STEAL	3		1632
20084	ATAMA	4	triangle	1632
20085	NOBAR	0		1634
20086	MERAS	1		1634
20087	AA503	2		1634
20088	WI_NDB	3	circle	1634
20089	STEAL	4		1634
20090	ATAMA	5	triangle	1634
20104	TAZEY	0		1639
20105	ZORBA	1	triangle	1639
20106	DAVEE	0		1640
20107	OSAKU	1		1640
20108	ANSER	2		1640
20109	ZORBA	3	triangle	1640
20110	PEPPE	0		1641
20111	ONISU	1		1641
20112	UPTIB	2		1641
20113	KETOB	3	triangle	1641
20114	NOBAR	0		1642
20115	SAMII	1		1642
20116	TEVUC	2	triangle	1642
20117	EAGIL	0		1643
20118	AA421	1		1643
20119	AA425	2		1643
20120	AA420	3		1643
20121	EMRAG	4	triangle	1643
20122	FOKRE	0		1645
20123	AA416	1		1645
20124	AA426	2		1645
20125	AA419	3		1645
20126	EMRAG	4	triangle	1645
20127	EXOPI	0		1647
20128	AA417	1		1647
20129	STORK	2		1647
20130	AA418	3		1647
20131	EMRAG	4	triangle	1647
20132	EXOPI	0		1656
20133	DIPPU	1		1656
20134	ANKIL	2		1656
20135	LOSGA	3		1656
20136	AKBAM	4		1656
20137	LENGU	5	triangle	1656
20138	EXOPI	0		1666
20139	DIPPU	1		1666
20140	ANKIL	2		1666
20141	VIRIS	3	triangle	1666
20142	TAZEY	0		1676
20143	ZORBA	1		1676
20144	SABAV	2		1676
20145	EMRAG	3	triangle	1676
20146	UKAPA	0		1679
20147	SHILI	1		1679
20148	AKBAM	2		1679
20149	LENGU	3	triangle	1679
20150	UKAPA	0		1683
20151	SHILI	1		1683
20152	MUDEE	2		1683
20153	UDUMO	3	triangle	1683
20204	AA23L	0		1721
20205	LENGU	1		1721
20206	MAGLO	2		1721
20207	BROOK	3		1721
20208	FIRTH	4		1721
20219	AA05R	0		1738
20220	EMRAG	1		1738
20221	RAXIN	2		1738
20222	AA23L	0		1743
20223	LENGU	1		1743
20224	AA23L	0		1744
20225	LENGU	1		1744
20226	AA23L	0		1747
20227	IRSIP	1		1747
20228	LEVRA	2		1747
20229	AA23L	0		1752
20230	LENGU	1		1752
20231	WYTAK	2		1752
20232	MEMOR	3		1752
20233	AA23L	0		1757
20234	LENGU	1		1757
20235	OSRAP	2		1757
20244	AA05R	0		1772
20245	S036.59.28.000 E174.51.18.000	1		1772
20246	VINOD	2		1772
20247	S037.07.07.000 E174.52.08.000	3		1772
20248	BUDLU	4		1772
20249	REKIS	5		1772
20250	AA05R	0		1766
20251	ADKUM	1		1766
20252	MADVI	2		1766
20253	VINOD	3		1766
20254	PAGLA	4		1766
20255	AA05R	0		1778
20256	EMRAG	1		1778
20257	SATLA	2		1778
20258	AA23L	0		1784
20259	S037.01.54.000 E174.42.34.000	1		1784
20260	STEAL	2		1784
20354	AA05R	0		1808
20355	EMRAG	1		1808
20356	POLIS	2		1808
20357	IDEMA	3		1808
20358	BROOK	4		1808
20359	AKELA	5		1808
20364	AA05R	0		1816
20365	EMRAG	1		1816
20366	XELAN	2		1816
20367	URBIG	3		1816
20368	BATOS	4		1816
20369	AA23L	0		1819
20370	LENGU	1		1819
20371	WYTAK	2		1819
20372	BELRA	3		1819
20373	AA05R	0		1823
20374	EMRAG	1		1823
20375	XELAN	2		1823
20376	BELRA	3		1823
20377	DADLA	4		1823
20378	SALAG	5		1823
20379	AA05R	0		1824
20380	S036.59.17.000 E174.51.23.000	1		1824
20381	BROOK	2		1824
20382	AA05R	0		1827
20383	EMRAG	1		1827
20384	POLIS	2		1827
20391	AA05R	0		1839
20392	EMRAG	1		1839
20393	XELAN	2		1839
20394	KADMA	3		1839
20395	BISEB	0		1843
20396	SURID	1		1843
20397	QUAIL	2	triangle	1843
20398	CONOR	0		1844
20399	KEVUT	1		1844
20400	MIBEV	2	triangle	1844
20401	LUBSI	0		1845
20402	VATKU	1		1845
20403	LERTI	2		1845
20404	ISDEM	3		1845
20405	GUNEL	4		1845
20406	RISMO	5		1845
20407	QUAIL	6	triangle	1845
20408	CONOR	0		1846
20409	NS_VOR	1	circle	1846
20410	DUGOL	2		1846
20411	IRNUX	3		1846
20412	KAPUA	4	triangle	1846
20413	GUNEL	0		1847
20414	NS_VOR	1	circle	1847
20415	DUGOL	2		1847
20416	IRNUX	3		1847
20417	KAPUA	4	triangle	1847
20418	LUBSI	0		1848
20419	NS_VOR	1	circle	1848
20420	DUGOL	2		1848
20421	IRNUX	3		1848
20422	KAPUA	4	triangle	1848
20423	GUSDU	0		1849
20424	RILDO	1		1849
20425	ATRES	2		1849
20426	GUDKI	3		1849
20427	BEPNI	4		1849
20428	ESNED	5	triangle	1849
